Table 1
County Name,Flown Over X Times,Lattitude Centroid,Longitude Centroid,
'Pointe Coupee Parish',137,30.7093956955,-91.6007888442,
'Hardin County',80,37.5181798892,-88.2667801291,
'Erie County',579,42.7582365339,-78.7796595828,
'Estill County',122,37.6924814699,-83.9643302311,
'Hood River County',268,45.5190279208,-121.651091385,
'Montgomery County',123,41.0301399961,-95.1563757716,
'Flagler County',1729,29.4711426482,-81.2929913884,
'Pike County',174,33.0922652469,-84.3892346459,
'Bon Homme County',48,42.9883723478,-97.8846508535,
'Orangeburg County',226,33.438991479,-80.8002997359,
'Jackson County',136,35.2875866253,-83.1408496187,
'Summit County',28,40.8681663764,-110.955893455,
'Comanche County',322,34.6621223951,-98.4716796499,
'Modoc County',98,41.5898335739,-120.725028959,
'Cumberland County',295,35.9503879058,-84.9983515819,
'Sherburne County',121,45.4439531217,-93.7745948671,
'Davison County',40,43.6747378332,-98.1459868879,
'Pulaski County',50,32.2322990847,-83.4759611368,
'Lyon County',62,37.0191301368,-88.0832815032,
'Ware County',216,31.0536324937,-82.4236757904,
'Turner County',81,31.7163847519,-83.6240929756,
'Calhoun County',124,39.1692979289,-90.6675721556,
'Defiance County',124,41.3239160959,-84.4904951214,
'Holmes County',101,30.8678906078,-85.8141023534,
'Jackson County',72,30.4628875802,-88.6228415765,
'Mohave County',2486,35.7040584995,-113.757910618,
'Horry County',315,33.9046109451,-78.9761374454,
'Chase County',203,40.5241957601,-101.697946991,
'Taney County',128,36.6547348009,-93.0411071081,
'Montgomery County',41,32.1733642109,-82.5348172563,
'Palo Pinto County',318,32.7531803783,-98.31302138,
'Beaver County',161,36.7497076523,-100.476834839,
'Tulare County',300,36.220156659,-118.80047248,
'Rockbridge County',104,37.8144890524,-79.4472820902,
'Lincoln County',158,35.1405167444,-86.5889416254,
'Davidson County',1468,36.1695295563,-86.7848240917,
'Cumberland County',380,40.1636345517,-77.2655238393,
'Chautauqua County',484,42.3029409617,-79.4057576347,
